,Numéro d'autorisation,Nom,Adresse,Code Postal,Commune,X,Y
22,524908,Pharma 2424,Rue Neuve 1 ,6061,Charleroi,656372.25,622242.8125
23,540712,Pharmacie Mont-à-leux,Rue Du Mont-à-leux 96 ,7700,Mouscron,567515.4375,658428.25
24,210708,Pharmacie Anspach,Boulevard Anspach 109 ,1000,Bruxelles,648540.125,670747.375
25,122614,Multipharma Cv,Liersesteenweg 266 ,2800,Mechelen,657631.75,692481.375
26,112402,Multipharma Cv,Heuvelstraat 179 ,2620,Hemiksem,647658.375,702907.625
27,112401,Apotheek Kristin Tuyteleers,Heuvelstraat 60 ,2620,Hemiksem,647746.8125,703278.125
28,652402,Pharmacie La Sauvegarde,Rue Du Centre 4 ,4140,Sprimont,741822.0625,633561.125
29,420803,Apotheek Hc Pharma,Kapellestraat 55 ,9220,Hamme (o.-vl.),634098.0625,698466.25
30,340302,Apotheek Booy Bvba,Doorniksesteenweg 11 ,8580,Avelgem,584820.375,663175.8125
31,512202,Pharmacie Risselin,Place De L'hotel De Ville 5 ,7911,Frasnes-lez-anvaing,597018.125,650911
32,610302,Pharmacie Des Cloitres,Place Joseph Ramoux 1 ,4540,Amay,717213.5625,637960.6875
33,442218,Apo Coop Gent Nieuwewandeling,Broederlijke Weversplein 253 ,9000,Gent,603055,693895.6875
34,442221,Apo Coop Landegem,Vosselarestraat 11 0001,9850,Deinze,594162.8125,694224.5625
35,114804,Deuzeldapotheek,Andre Ullenslei 2 ,2900,Schoten,656392.25,715114.6875
36,626403,Les Pharmacies Du Peuple-réseau Solidaris,Rue Saint Gilles 584 ,4000,Liège,733382.5,647581.1875
37,213619,Pharmacie Ganter,Chaussée De Waterloo 795-797 ,1180,Uccle,649979.9375,666772.6875
38,929101,Delvigne,Rue De La Glacerie 26 ,5190,Jemeppe-sur-sambre,673101.5625,626854.4375
39,712604,Cité-farma Nv,Koolmijnlaan 199 ,3550,Heusden-zolder,715584,692732.3125
40,130806,Apotheek Bakelants,Kollegestraat 26 ,2440,Geel,693596.1875,705838.5625
41,540708,Pharmacie Begon - Vandyck,Rue De Menin 436 ,7700,Mouscron,567693.5625,661084.4375
42,920303,Pharmacie Du Perron,Rue Léon Simon 20 ,5300,Andenne,701736.9375,630944.375
43,232703,Apoteek Brichau Nv,Basiliekstraat 87 ,1500,Halle,640638,658196
44,116501,Apotheek Dorpwest,Dorp West 15 ,2070,Zwijndrecht,646952.8125,712154.8125
45,361902,Apotheek Goderis & Vincent Bvba,Kapelleriestraat 7 ,8840,Staden,554747.8125,685777.6875
46,422802,Van Hecke,Kouterstraat 90-92 ,9240,Zele,626234.6875,695102.3125
47,321001,Apotheek Crevits Nv,Moerestraat 5 ,8680,Koekelare,552574.375,698727.625
48,110237,Isavo Nv,Julius De Geyterstraat 19 ,2020,Antwerpen,650501.25,708469.375
49,341603,Apotheek D.dubois Nv,Izegemsestraat 131 ,8501,Kortrijk,571688.8125,670510.6875
50,810108,Waltzing,Avenue De La Gare 13 ,6700,Arlon,754100.1875,542026.875
51,333201,Apotheek Dieusaert - Pattou Bvba,Ieperstraat 115 ,8953,Heuvelland,545539.25,664909.875
52,212402,Pharmenform,Place Eugene Simonis 1 ,1081,Koekelberg,647269.75,672521.6875
53,651104,Champenois Nathalie,Avenue De Juprelle 2 ,4000,Liège,733643.5625,652937.25
54,242601,Apotheek Spruyt Everberg Bvba,Annonciadenstraat 38 ,3078,Kortenberg,664049.8125,674149.75
55,730101,Apotheek Coenen Bart,Steenweg 121 Za,3570,Alken,714877,675818
56,613103,Pharmacie Sous-le-château,Rue Sous-le-château 51 ,4500,Huy,711690,634343.375
57,211217,Pharmacie Du Roi Vainqueur,Rue De Tervaete 44 ,1040,Etterbeek,652246.0625,668924.3125
58,210302,Marievoet Michele,Avenue Jean-francois Leemans 37 ,1160,Auderghem,654735.6875,665830.75
59,231101,De Vulder Bvba,Kerkstraat  16 ,1761,Roosdaal,633627.125,671159
60,310301,Apotheek Donckerwolcke Bvba,Camille Marichalstraat 8 ,8730,Beernem,577567.4375,703944.875
61,210111,Pharmanderlecht,Square Henri Rey 3 ,1070,Anderlecht,645541.1875,670335.875
62,350502,Apotheek Vital Bvba,Hoogstraat   2 ,8470,Gistel,551896.4375,706098.125
63,720402,Apotheek Van Dijck Bvba,Witte Torenwal 41 ,3960,Bree,735847.25,704282.9375
64,416201,Menschaert Karen,Schipstraat 4 ,9550,Herzele,615777.5,671596.75
65,212408,Pharmacie Basilique,Avenue De Berchem-ste-agathe 7 ,1081,Koekelberg,646431.25,672728.8125
66,711619,Apotheek Bollen Els Bvba,Sledderloweg 26 ,3600,Genk,730352.9375,683037.25
67,123901,Walemapotheek,Koning Albertstraat 58 ,2800,Mechelen,656218.4375,695111.9375
68,626379,Pharmacie Marie-anne Tychon,Rue Saint-laurent 254 ,4000,Liège,733858.8125,648098.375
69,640601,Sprl Pharmacie Du Mohery,Rue Du Mohery 33b ,4280,Hannut,699575.3125,645827.125
70,235401,Delcourt Pharma Bvba,Rozenlaan 6 ,1730,Asse,639508.625,680279.125
71,115913,Smets Farma,Letterkundestraat 2 ,2610,Antwerpen,650961.75,707947.5
72,310540,Apotheek Baeyens,Heiststraat 108 ,8380,Brugge,569149.3125,725252.8125
73,650403,Pharmacie Pauquay-bovens,Rue Tollet 5 ,4680,Oupeye,740394.125,655664.3125
74,642101,Linotte Philippe,Grand'route 65 B,4367,Crisnée,723023.25,655669.125
75,922101,Pharmacie Chapelle-willem Srl,Chaussée De Louvain 339 ,5004,Namur,686181.3125,629849.125
76,110256,Goed,Nationalestraat 119 ,2000,Antwerpen,652054.1875,711535.6875
77,213803,Pharmacie Wiener,Rue Major Brück 2 ,1170,Watermael-boitsfort,653504.125,665408.0625
78,122602,Goed,Antwerpsesteenweg 1 ,2800,Mechelen,657205.25,692262.3125
79,124204,Goed,Van Landeghemstraat 53 ,2830,Willebroek,649431.0625,694658.5625
80,713002,Goed,Koolmijnlaan 239 ,3582,Beringen,709685.8125,696252.8125
81,274504,Pharmacie Servais Wavre 4 Sapins,Avenue Molière 8 ,1300,Wavre,668447,655143
82,553801,Familia,Rue E. Urbain 128 ,7100,La Louvière,635859.125,628381.75
83,913402,Familia,Place Reine Astrid 7 ,5500,Dinant,688800,605677
84,418102,Multipharma Cv,Stationstraat 42 ,9620,Zottegem,610894.875,673352.375
85,625121,Multipharma,Rue E. Muraille 287/r ,4040,Herstal,738511.0625,652730
86,935601,Multipharma,Place D'armes 14 ,5600,Philippeville,662488.375,598323.875
87,230102,Multipharma Cv,Alsembergsteenweg 1116 ,1652,Beersel,647324.6875,661149.75
88,112506,Multipharma Cv,Kioskplaats 45-47 ,2660,Antwerpen,648697.875,707255.5625
89,921402,Multipharma,Rue Elie Bertrand 54 ,5170,Profondeville,682214.9375,619662.6875
90,212604,Multipharma Cv,Gentse Steenweg 738 ,1080,Sint-jans-molenbeek,645522.125,672239.9375
91,211625,Multipharma Cv,Hoogte Honderdplein 35 ,1190,Vorst,647718.9375,667297.625
92,212206,Multipharma Cv,Gielelaan 42 ,1090,Jette,647047.75,673069.4375
93,214218,Multipharma Cv,Bosstraat 212 ,1150,Sint-pieters-woluwe,655611.375,669170.1875
94,274507,Multipharma,Rue Du Pont Du Christ 34 ,1300,Wavre,667018,656149.1875
95,521140,Multipharma,Boulevard Zoé Drion 1 ,6000,Charleroi,655992.25,622424.4375
96,536601,Multipharma,Grand'place 16 ,7390,Quaregnon,614248.5625,625885.875
97,626357,Multipharma,Place Du Vingt Août 1 ,4000,Liège,735296.5625,648541.8125
98,650312,Multipharma,Rue Ernest Solvay 227 ,4000,Liège,734024.3125,644967.0625
99,634301,Vpharma Lambermont,Rue Saint Bernard 28 ,4800,Verviers,753577.9375,643254.5625
100,637925,Vpharma Verviers Porte De Heusy,Rue De Mangombroux 1-3 ,4800,Verviers,756120.8125,643315.125
101,637603,Pharmacies Populaires Verviers,Rue Hovemont 113 ,4910,Theux,752549,636767.6875
102,950235,Pharmacie A-l Sprumont,Rue Patenier 67-69 ,5000,Namur,683875.625,628166.25
103,130813,Apotheek Ten Aard,Turnhoutseweg 4 ,2440,Geel,692749.6875,710599.625
104,111026,Van Den Berghe,Dokter Van De Perrelei 114 ,2140,Antwerpen,655623.75,710763
105,446101,Delboo,Gentbruggestraat 65 ,9040,Gent,606793.75,693613.6875
106,462104,Apotheek De Ster,Bellestraat 97 ,9100,Sint-niklaas,636806.1875,707321.3125
107,462504,Apotheek Servotte Peter Bvba,Pastoor Boelstraat 17 ,9140,Temse,638998.75,701939.9375
108,422504,Keppens Aurora,Brusselsesteenweg 14 ,9230,Wetteren,612185.0625,686908.0625
109,640401,Pharmacie Belin,Rue De Lens-st-remy 1 ,4260,Braives,702699.1875,646832.8125
110,212053,De Vlamynck Clemence,Rue Keyenveld 89/1 ,1050,Ixelles,649543.875,669251.5625
111,561502,Pharmacie Philippe Busquin,Rue Duvivier 7 ,7141,Morlanwelz,642059.0625,625776.1875
112,919001,Scarnier,Rue Des Ecoles 25 ,5560,Houyet,687066.125,595176.8125
113,523702,Decauwers Jean-marie,Rue Duvivier 12 ,6220,Fleurus,663336.75,627446
114,552601,Pharmacie De L'etincelle,Rue Du Roeulx 24 ,7110,La Louvière,630847.75,627774.4375
115,540201,Leterme Jocelyne,Rue De La Gare 51-53 ,7780,Comines-warneton,553320.3125,663128
116,551601,Corbisier Pascale,Rue De La Butte 39 ,7090,Braine-le-comte,636136.3125,647728.875
117,570801,Pharmacie Deldicque - Lenfant,Rue Du Touquet 15 ,7522,Tournai,574358.625,646231.875
118,213634,Pharmacie De Neerstalle,Chaussee De Neerstalle 485 ,1180,Uccle,646588.8125,665202.4375
119,352204,Westend Healthcare,Westendelaan 318 ,8434,Middelkerke,537999.75,706617.8125
120,382508,Apotheek Bulskamp,Bulskampstraat 94 ,8630,Veurne,529496.625,693911.75
121,314301,Pharma 2care Nv,Nieuwe Steenweg 50 ,8377,Zuienkerke,565559.4375,717973.25
122,716601,Apotheek Mees Zonhoven,Dorpsstraat 6-8 ,3520,Zonhoven,720187.5,687284.0625
123,460202,Candries - D'hollander,Belseledorp 145 A ,9111,Sint-niklaas,630129.1875,704035.375
124,643403,Heraly Carine,Grand'place 14 ,4280,Hannut,700143.5,651600.625
125,462404,Hellestraat,Hellestraat 71 ,9190,Stekene,626929.5,713080.5
126,830402,Huart,Rue En Charotte 4 ,6940,Durbuy,730011,616138.25
127,115201,Verlinden Inge,Dorpsstraat 158 ,2940,Stabroek,650255.75,725007.375
128,617501,Pharmacie Laduron Sa,Rue Feron 2 ,4530,Villers-le-bouillet,710623.9375,642862.8125
129,521310,Esbe-pharma,Grand'rue 20 ,6200,Châtelet,661280.875,621400.6875
130,312301,Apotheek Delputte Nv,Kortrijksestraat 48 ,8020,Oostkamp,570644.75,705312
131,713401,Crauwels,Dorpstraat 24 ,3945,Ham,704426.125,699318.375
132,635902,Classen,Place De Petit-rechain 21 ,4800,Verviers,753625.1875,645761.6875
133,274508,Pharmacie Smits Basse-wavre,Chaussée De Louvain 266 ,1300,Wavre,667992.8125,656544.8125
134,613109,Pharmacie Duchene-colinet,Rue Neuve 33 ,4500,Huy,711436.3125,634825.75
135,130404,Apotheek Van De Mierop - Mestdagh,Lindenlaan 66 ,2340,Beerse,683574.5,723376.3125
136,220502,Multipharma,De Limburg Stirumlaan 99 ,1780,Wemmel,646035.875,677050.4375
137,637924,Pharmacie Lejeune,Boulevard Des Gérard-champs 40 ,4800,Verviers,754655.5625,643542.875
138,131001,De Ram,Astridplein 8 A ,2280,Grobbendonk,675875.875,709074.5
139,234603,Multipharma,Stationsstraat 109 ,1840,Londerzeel,645158.5,688694.8125
140,113505,Apotheek De Ferm,Merksemheidelaan 2 ,2170,Antwerpen,656592.25,715977.75
141,711624,Apotheek Thiels  Nv,Halveweg 29 ,3600,Genk,723226.8125,682780.125
142,524001,Pharmacie Fontaine,Place Edmond Gilles 27 ,6042,Charleroi,655677.1875,624426.1875
143,522908,Pharmacie Baldini,Place Des Martyrs 25 ,6041,Charleroi,654293.75,628370.9375
144,210804,Mm Pharma,Rue Du Marais 11 ,1000,Bruxelles,649249.375,671136.1875
145,238601,Farmagora,Marktplein 10 ,1740,Ternat,636592.75,673460.5625
146,239702,Apotheek De Pauw - D'hoe Nv,Lombeekstraat 38 ,1760,Roosdaal,630329.4375,669918.5625
147,133301,Spiritus - De Backer,Dorp 80 ,2382,Ravels,696909.5,737751.125
148,626430,Pharmacie De Bavière,Rue Des Bonnes Villes 9 ,4020,Liège,736350.3125,648760.125
149,524503,Vanneste Veronique,Avenue Eugene Mascaux 350 ,6001,Charleroi,654890.125,620013.0625
150,241301,Apotheek Meerdaal,Bierbeekstraat 2 B/001,3052,Oud-heverlee,673521,668398
151,240702,Lloydspharma Group Begijnendijk,Kleine Steenweg 2 ,3130,Begijnendijk,679141.8125,689834.875
152,551503,Lloydspharma Gr Cour D'haine,Rue Salvador Allende 14 ,7100,La Louvière,639227.3125,629359.25
153,851901,Lloydspharma Gr Petrement - Du Faing,Rue Du Faing 8 ,6810,Chiny,725305.625,543010.0625
154,210137,Lloydspharma Gr Scherdemael,Rue De Neerpede 225 ,1070,Anderlecht,644371.3125,668944.3125
155,270301,Pharmacie Lloydspharma Gr. De Nil,Rue Hautbiermont 8 ,1457,Walhain,670565.3125,647297.6875
156,534101,Lloydspharma Gr Centre-hornu,Rue Grande 115 ,7301,Boussu,611616.125,624704.25
157,833101,Pharmacie Defoy,Place Du Marché 6 ,6980,La Roche-en-ardenne,736185.75,597447.9375
158,111309,Goed Apotheek,Lage Kaart 245 ,2930,Brasschaat,657818,721119.3125
159,741002,Apotheek Membruggen Bvba,Rijckerstraat 13 ,3770,Riemst,731697.5,668140.25
160,245601,Biopharm Kortenberg,Stationsstraat 8 ,3070,Kortenberg,662344,675459.3125
161,352601,Apotheek Sielke Puype,Kasteelstraat 2 ,8400,Oostende,552603.875,711069.625
162,561201,Pharmacie Gaye Saint-cosme,Rue Saint-michel 12 ,6464,Chimay,647997.5,579517.5625
163,626331,Pharmacie D'avroy,Boulevard D'avroy 136 ,4000,Liège,734780.8125,647823.8125
164,566101,Pharmacie Mathieu Srl,Grand'rue 60 ,6470,Sivry-rance,643067.75,592379.6875
165,123301,Naegels - Jespers,Lange Dreef 31 ,2820,Bonheiden,665300.375,688076.8125
166,360802,Apotheek De Winter-devos Bv,Baronstraat 62 ,8870,Izegem,569751.8125,679969.0625
167,344111,Pharmacan Bvba,Franklin Rooseveltlaan 61 ,8790,Waregem,584580,674795.1875
168,537702,Liegeois,Rue Victor Delporte 21 ,7350,Hensies,605245.1875,624281
169,571801,Pharmacie Mertens,Rue Monseigneur Descamps 18 ,7760,Celles,585154.1875,660860.5625
170,633801,Pharmacie De Jalhay,Place 17a ,4845,Jalhay,763130.125,639945.0625
171,332902,Apocare De Maziere Nv,Geluwestraat 62 ,8940,Wervik,556889.4375,664687.25
172,111738,Van Eynde,Boshovestraat 186 ,2100,Antwerpen,657279.5,712543.875
173,843601,Pierret Benoit,Grand'rue 52 ,6800,Libramont-chevigny,722420,568065.0625
174,573001,Du District,Rue Des Tanneurs 3 ,7504,Tournai,576301.5625,641239.5
175,213812,Pharmacie Des Arcades,Avenue De Vise 13 ,1170,Watermael-boitsfort,652031.8125,666650.875
176,420402,Ceulemans,Kerkstraat 97 ,9255,Buggenhout,638311.875,689482.0625
177,381602,Apotheek Van Besien  Nv,Marktplein 12 ,8620,Nieuwpoort,536750.375,703401.4375
178,953201,Pharmacie E. Dozot,Rue De Liege 3/4 ,5300,Andenne,694327.8125,628633.0625
179,553301,Medi-prest,Chaussée De Bruxelles 343 ,7850,Enghien,628063.4375,653383.875
180,313003,Apotheek Luc Vandepitte  Nv,Moerkerkse Steenweg 23 ,8310,Brugge,571321.5,712001.0625
181,254806,Pharmacie Ergot,Avenue Fernand Charlot 1 ,1370,Jodoigne,685466.5,657100.625
182,578120,Les Pharmacies Rurales,Chaussee De Lille 71 ,7500,Tournai,579454.75,644267.0625
183,440702,Van Der Stuyft,Vrijhem 22 A ,9860,Oosterzele,609173.5625,679925.25
184,553802,Pharmacie Bruyere-navez,Rue Omer Thiriar 2 ,7100,La Louvière,635223.0625,627204.25
185,344205,Apotheek Airport Wevelgem,Kortrijkstraat 360 ,8560,Wevelgem,568073.0625,667850.5625
186,251301,Levaque Pierre,Place Communale 1 ,1470,Genappe,659870.375,645071.5625
187,331901,Apotheek Legrand,Molenstraat 1 A,8980,Zonnebeke,555200.8125,677607.8125
188,712201,Apotheek Bijnens Nv,Luikersteenweg 351 ,3500,Hasselt,719491.625,677730.875
189,921002,Belpharma,Avenue Joseph Abras 54 ,5001,Namur,682502.4375,629139.875
190,577803,Pharmacie Tornaphar,Rue De Tournai 92c ,7520,Tournai,573812,648414
191,212636,Les Pharmacies Lambrechts Sa,Rue Des Etangs Noirs 1 A,1080,Molenbeek-saint-jean,647379.8125,671837.75
192,626321,Pharmacie Rosen,Rue De L'université 8 ,4000,Liège,735149.8125,648715.25
193,536903,Pharmacie Scanu-haine,Rue Grande 4 ,7380,Quiévrain,601238.0625,622070.875
194,713801,Apotheken Peeters Bvba,Zelemsebaan 3 ,3560,Lummen,704228.3125,687841.4375
195,911501,Pharden Sa,Rue De Bouillon 17 ,5555,Bièvre,696752.5,570056.1875
196,561101,Pharmacie Jeumont,Route De Charleroi 152 Rdc 2,7134,Binche,637986.875,622140.5625
197,342602,Vereenooghe Ldl,Stationsstraat 2 ,8860,Lendelede,570497.6875,675669.9375
198,730102,Apotheek Bare Bvba,Hoogdorpstraat 2 ,3570,Alken,716065.75,674400.625
199,263216,Kabephar Nv,Gilainstraat 112 ,3300,Tienen,689893.875,667001.625
200,540714,Pharmacie Moulin,Rue D'iseghem 161 ,7700,Mouscron,567889.3125,660231
201,535311,Pharmacie Mariage Sa,Rue De Bertaimont 20 ,7000,Mons,620188.1875,626513.9375
202,538102,Pharmacie Dieu-wasmuel,Place Brouez 18 ,7390,Quaregnon,613004.6875,626100.125
203,721001,Apotheek Lynn Heussen Bv,Bocholterweg 25 ,3990,Peer,729808.25,705614.25
204,230203,Apotheek De Witte Bvba,Markt 1 ,1730,Asse,638007.0625,677746
205,651918,Bernard Corinne,Rue De La Baume 240 ,4100,Seraing,730849.0625,643955.5625
206,122802,Apotheek Dirk Van Herck,Albert Kanaalstraat 50 A ,2560,Nijlen,670894,705869.0625
207,341302,Apotheek Duchi,Marktstraat 72 ,8530,Harelbeke,575393.3125,672229.1875
208,634003,Pharmacie Bourdouxhe,Rue De L'eglise 12 ,4720,La Calamine,766225.8125,657416.4375
209,114301,Apoteek Jacobs,Lievevrouwestraat 36 ,2520,Ranst,663527.6875,708849.375
210,213209,Butros Jeozif,Avenue Jean Stobbaerts 10 ,1030,Schaerbeek,651159,671994.0625
211,381401,Romapharm,Koninklijke Baan 102 ,8670,Koksijde,528700.5,702633.0625
212,830801,Pharmacie Tilman,Rue De Fleurie 1-3 ,6941,Durbuy,732151.9375,619059.0625
213,242002,Multipharma Cv,Botermarkt 4 ,3290,Diest,697972.8125,686158.875
214,213609,Pharmacie Floreal,Chaussée D'alsemberg 623 ,1180,Uccle,647737.4375,666368.25
215,610401,Pharmacie Lejeune,Avenue Hippolyte Dumont 7 ,4540,Amay,715106.3125,637009.125
216,263901,Apotheek Drie Fonteinen,Smisstraat 1 ,3080,Tervuren,663264.3125,669362.25
217,111909,Van Speybroeck,Prins Boudewijnlaan 314 ,2650,Edegem,654089,705938.0625
218,625902,Pharmax,Rue De Vise 26 ,4020,Liège,738780.5,648976.8125
219,251503,Pharmacie Loop,Rue De Nivelles 155a ,1440,Braine-le-château,643545.1875,650988.3125
220,114701,Holsbeek Schilde,Turnhoutsebaan 135-137 ,2970,Schilde,664729.6875,714415.625
221,732203,Apotheek Bormans Bovelingen Bvba,Bovelingenstraat 230 ,3870,Heers,712644.8125,659003.6875
222,834901,Pharmacie Christiane Noel,Route De Bastogne 13 ,6970,Tenneville,732648.125,587423.375
223,460305,Bytebier,Kloosterstraat 42 ,9120,Beveren-waas,642354.8125,711634.5625
224,634501,Pharmacie Lejeune Vdm,Rue Du Doyard 12 ,4990,Lierneux,751218.8125,609185.9375
225,578110,Pharmacie Saint-martin,Rue Des Sports 51 ,7500,Tournai,580406,643693
226,212633,Pharmacie Du Parvis De Molenbeek,Parvis Saint Jean Baptiste 19 ,1080,Molenbeek-saint-jean,647901.75,671796.6875
227,251409,Pharmacie De L'estree,Chaussee D'alsemberg 156 Bis,1420,Braine-l'alleud,649992.125,653202.25
228,626365,Pharmacie Des Ecoles,Rue Sainte-marguerite 90 ,4000,Liège,734278.375,649023.625
229,414901,Apotheek Moeremans,Kouterbaan 59 ,9400,Ninove,628186.1875,672041.25
230,577801,Pharmacie Deman,Rue De Tournai 7 ,7520,Tournai,573380.25,648748.1875
231,811301,Multipharma,Route De Bastogne 22 ,6630,Martelange,748577.1875,558997.0625
232,721503,Langenaeken-infor Se,Koolmijnlaan 78a ,3530,Houthalen-helchteren,721517.3125,690356.4375
233,623805,De La Clef,Avenue Des Martyrs 303 ,4620,Fléron,743281.5625,645735.6875
234,916001,Leclercq Michel,Rue Des Grottes 11 ,5580,Rochefort,708636.9375,590761
235,252501,Peeters Pharma Louvranges,Rue De Louvranges 85 ,1325,Chaumont-gistoux,669183.375,653897.0625
236,441201,Vermassen,Baron De Gieylaan 42 ,9840,De Pinte,599822.625,687225.875
237,212614,Pharmacie Khira,Avenue Jean Dubrucq 54 ,1080,Molenbeek-saint-jean,647568.375,672752.125
238,540713,Nancy Peers,Place De La Gare 8-9 ,7700,Mouscron,569502.5,659565.0625
239,442174,Heindryckx,Brugsesteenweg 192 ,9000,Gent,602474.5625,695209.875
240,211812,Millenium Pharma,Avenue Van Overbeke 153 ,1083,Ganshoren,646036.8125,673579.9375
241,414805,Bourguignon - Deraeve,Oudstrijdersplein 8 ,9400,Ninove,625623.5,669485.5625
242,920703,Daniel Veronique,Rue De Falisolle 190 ,5060,Sambreville,668651.4375,625439.125
243,210157,Medipharm Instruction,Rue De L'instruction 115 ,1070,Anderlecht,647271.125,669638.6875
244,510702,Lemaire Basecles,Rue Grande 2 ,7971,Beloeil,598789.75,635270.6875
245,360702,Christiaens,Bruggestraat 3 ,8770,Ingelmunster,571577.1875,679522
246,521404,Du Chant Des Oiseaux,Rue De Gilly 273 ,6200,Châtelet,659815.625,622262.4375
247,552208,Pharmacie Wilquin,Rue Des Bois 26 ,7100,La Louvière,638274.9375,631508.5
248,578104,Bernard Christelle,Quai Du Marche Au Poisson 3 ,7500,Tournai,580792.25,644593.125
249,913404,Hardy Catherine,Rue Grande 7 ,5500,Dinant,689041.375,605191.9375
250,524401,Jemidar Naima,Rue De La Providence 12 ,6030,Charleroi,651989,622307
251,622003,Pharmacie Franck,Rue Du Moulin 101 ,4020,Liège,736951.6875,648598
252,653203,Mathy,Rue Des Recollets 27 ,4600,Visé,743492.375,659207.375
253,243805,Apotheek Dumalin Bvba,Rijweg 64 ,3020,Herent,671507.125,676543.3125
254,135201,Swaenen,Worteldorp 11 ,2323,Hoogstraten,679681.8125,732011.6875
255,240201,Assentfarma Nv,Dorpstraat 8 ,3460,Bekkevoort,695316.375,682594.125
256,442105,De Loof,Zwijnaardsesteenweg 718 ,9000,Gent,604473,690276.375
257,637605,Pharmacie De La Reid,Rue Du Maquisard 14 ,4910,Theux,751016.5625,631851.9375
258,617001,Pharmacie Des Templiers,Rue De Manhay 3 ,4550,Nandrin,720335.8125,633437.3125
259,132904,Boeckmans,Oevelseweg 141 A ,2250,Olen,687000.9375,705354.8125
260,130802,Optiphar Apotheek,Antwerpseweg 81 B,2440,Geel,691102.6875,704228.5625
261,952701,Dufrane Sprlu,Rue Haute 28 ,5190,Jemeppe-sur-sambre,673988.0625,630035.1875
262,624707,Pharmacie Du Bois De Breux - Valérie Senterre,Rue De Herve 507 ,4030,Liège,738733.375,647189.9375
263,534304,Conem Pascal,Avenue Marechal Foch 768 ,7012,Mons,615887.5625,626462.0625
264,821501,Guiot,Rue De La Gare 3 ,6670,Gouvy,763085.4375,599050.5
265,344206,Apotheek Maertens Bvba,Menenstraat  295 ,8560,Wevelgem,565048.9375,666596.5
266,441202,Benedicte Van Heule,Pintestraat 17 ,9840,De Pinte,599409.125,687047.75
267,213643,Pharmacie Defré,Avenue De Fré 179 4,1180,Uccle,649190.125,665960
268,310902,Decapharma Bvba,Graaf D'ursellaan 49 ,8301,Knokke-heist,571732.625,726199.625
269,448102,Michiels Edouard,Statiestraat 108 ,9870,Zulte,585081.375,678769.5
270,550406,Pharmacie Deltenre,Rue De La Station 78 ,7090,Braine-le-comte,633649.5,644139.75
271,715302,Apotheek Lauweryns,Prins Albertlaan 33 ,3800,Sint-truiden,707171.25,667867.75
272,111737,Pharma Danckaert,Ter Heydelaan 173 ,2100,Antwerpen,656620.8125,713037.3125
273,211202,Pharmacie Debrus-tensi,Avenue De L'armée 7 ,1040,Etterbeek,652507.5625,669675.8125
274,715313,Jeandarme Cva,Gorsemweg 162 ,3800,Sint-truiden,706872.375,668429.875
275,360101,Apotheek Dessein Nv,Roeselaarsestraat 173 ,8850,Ardooie,565611.3125,683825.8125
276,461801,Maxime Van Eetvelde,Geeraard De Cremerstraat 12 ,9150,Kruibeke,644512.625,701966.4375
277,625113,Pharmacie Des Forges,Rue De La Clawenne 157 ,4040,Herstal,739522.875,652438
278,622901,Pharmacie Van Leeuw Marechal,Rue Haute 29 ,4690,Bassenge,741387.875,665406.8125
